estado,year,nivel
Coahuila de Zaragoza,2021,1.1768901569186876
Coahuila de Zaragoza,2022,1.663760896637609
Coahuila de Zaragoza,2023,1.026448362720403
Coahuila de Zaragoza,2024,0.9926578560939795
Colima,2003,0.0
Colima,2004,0.0
Colima,2005,0.06593406593406594
Colima,2006,0.9736842105263158
Colima,2007,1.4109589041095891
Colima,2008,0.5376344086021505
Colima,2009,0.9166666666666666
Colima,2010,0.6
Colima,2011,0.711864406779661
Colima,2012,0.0
Colima,2013,0.0
Colima,2014,0.0
Colima,2015,0.06818181818181818
Colima,2016,0.36363636363636365
Colima,2017,0.11194029850746269
Colima,2018,0.1875
Colima,2019,0.49645390070921985
Colima,2020,0.09183673469387756
Colima,2021,1.8
Colima,2022,0.27205882352941174
Colima,2023,1.3692307692307693
Colima,2024,0.8333333333333334
Durango,2003,0.29707112970711297
Durango,2004,0.0
Durango,2005,0.028169014084507043
Durango,2006,1.2619047619047619
Durango,2007,0.6039603960396039
Durango,2008,1.4635036496350364
Durango,2009,0.2727272727272727
Durango,2010,0.0
Durango,2011,2.5964912280701755
Durango,2012,1.8266666666666667
Durango,2013,0.38132295719844356
Durango,2014,0.017391304347826087
Durango,2015,0.018404907975460124
Durango,2016,0.19770114942528735
Durango,2017,0.2358490566037736
Durango,2018,0.5893719806763285
Durango,2019,0.7002762430939227
Durango,2020,0.8218978102189781
Durango,2021,2.004291845493562
Durango,2022,0.945983379501385
Durango,2023,1.9080590238365494
Durango,2024,2.4633596392333708
Estado de México,2003,0.13138686131386862
Estado de México,2004,0.0
Estado de México,2005,0.039097744360902256
Estado de México,2006,0.7136612021857923
Estado de México,2007,0.48412698412698413
Estado de México,2008,0.5218080888183981
Estado de México,2009,1.1619377162629758
Estado de México,2010,0.24128686327077747
Estado de México,2011,0.8342696629213483
Estado de México,2012,0.12738853503184713
Estado de México,2013,0.4424552429667519
Estado de México,2014,0.0
Estado de México,2015,0.0
Estado de México,2016,0.017001545595054096
Estado de México,2017,0.02888086642599278
Estado de México,2018,0.16666666666666666
Estado de México,2019,0.17889630078835658
Estado de México,2020,0.24890350877192982
Estado de México,2021,0.7609635577516985
Estado de México,2022,0.2108843537414966
Estado de México,2023,1.0727848101265822
Estado de México,2024,1.8117333333333334
Guanajuato,2004,0.0
Guanajuato,2005,0.32524271844660196
Guanajuato,2006,1.0161725067385445
Guanajuato,2007,0.09523809523809523
Guanajuato,2008,0.719626168224299
Guanajuato,2009,0.8183556405353728
Guanajuato,2010,0.56
Guanajuato,2011,1.8481262327416172
